course_code,course_name,category,theme
240534_L4_T2_COCOIA,Crea contenido con Inteligencia Artificial,Ciudadania,Gestión del tiempo libre
240534_L4_T1_TRAAP4,Apps útiles para gestión de trámites en internet,Ciudadania,Tu entorno digital
240534_L4_T1_INTEC4,Iniciación al mundo digital,Ciudadania,Tu entorno digital
240534_L4_T5_POREMP,Cómo buscar empleo en el mundo digital,Ciudadania,Mejora laboral
240534_L4_T1_SEGCO4,Compras seguras en línea,Ciudadania,Seguridad
240394_L1_T2_APLOC1,Ocio digital: Apps para disfrutar,Mayores,Gestión del tiempo libre
240394_L1_T2_IDEDIG,Crea y protege tu huella digital,Mayores,Gestión del tiempo libre
240394_L1_T1_INTEC1,Iniciación al mundo digital,Mayores,Tu entorno digital
240394_L1_T3_MENINS,Comunicación digital,Mayores,Redes sociales
240394_L1_T4_ACTCO1,Prevención digital,Mayores,Seguridad
240394_L1_T1_TRAAP1,Apps para trámites,Mayores,Tu entorno digital
